CH,A0,A1,A2,A3,B0,B1,B2,B3,A0.hi,A0.lo,A1.hi,A1.lo,A2.hi,A2.lo,B0.hi,B0.lo,B1.hi,B1.lo,B2.hi,B2.lo,B3.low5 (raw),B3.hi3 (raw),DOS Tx Freq (enter),DOS Rx Freq (enter),DOS Tx Tone (enter),DOS Rx Tone (enter),cct
1,62,47,A4,0,60,25,20,CF,6,2,4,7,10,4,6,0,2,5,2,0,15,6,52.5250,52.5250,131.8,0,0
2,62,37,EF,0,60,15,6F,3A,6,2,3,7,14,15,6,0,1,5,6,15,26,1,52.4900,52.4900,131.8,0,0
3,62,37,AE,0,60,15,2A,BA,6,2,3,7,10,14,6,0,1,5,2,10,26,5,52.0100,52.0100,114.1,0,0
4,62,37,6D,0,60,15,EC,39,6,2,3,7,6,13,6,0,1,5,14,12,25,1,52.0300,53.0300,103.5,0,0
5,62,37,2D,0,60,15,A8,CB,6,2,3,7,2,13,6,0,1,5,10,8,11,6,52.0700,53.0700,156.7,0,0
6,62,37,EC,0,60,15,6C,39,6,2,3,7,14,12,6,0,1,5,6,12,25,1,52.1100,53.1100,131.8,0,0
7,62,37,AC,0,60,15,28,BA,6,2,3,7,10,12,6,0,1,5,2,8,26,5,52.1300,53.1300,97.4,0,0
8,62,37,68,0,62,15,E3,CF,6,2,3,7,6,8,6,2,1,5,14,3,15,6,52.1500,53.1500,162.2,0,0
9,62,37,28,0,62,15,A7,28,6,2,3,7,2,8,6,2,1,5,10,7,8,1,52.1700,53.1700,107.2,0,0
10,62,37,E3,0,62,15,67,FD,6,2,3,7,14,3,6,2,1,5,6,7,29,7,52.1900,53.1900,103.5,0,0
11,62,37,63,0,62,15,E6,1E,6,2,3,7,6,3,6,2,1,5,14,6,30,0,52.2100,53.2100,114.8,0,0
12,62,37,E2,0,62,15,66,39,6,2,3,7,14,2,6,2,1,5,6,6,25,1,52.2300,52.2300,103.5,0,0
13,62,17,2A,0,62,15,22,DB,6,2,1,7,2,10,6,2,1,5,2,2,27,6,52.3300,53.3300,107.2,0,0
14,62,27,28,0,62,25,24,FD,6,2,2,7,2,8,6,2,2,5,2,4,29,7,52.4300,53.4300,110.9,0,0
15,62,27,98,0,62,25,94,FD,6,2,2,7,9,8,6,2,2,5,9,4,29,7,52.4900,53.4900,162.2,0,0
16,62,47,A5,0,60,25,25,6C,6,2,4,7,10,5,6,0,2,5,2,5,12,3,52.5700,53.5700,127.3,0,0
